Deteccion Nutircion Delegaciones,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
     Aguascalientes,160786,229353,296218,301954,364237,427848,396243,413878,435770,515362,480788,412189,371162
     Baja California,495194,649310,559689,670310,837411,1149020,1201875,1200515,1230700,1206524,1166652,1068044,969661
     Baja California Sur,102251,132743,149771,192575,201326,254103,278179,251970,244519,275284,224117,221198,211462
     Campeche,103278,107872,123546,183097,191961,221778,235087,232716,239922,277465,214227,181385,173328
     Coahuila ,577578,633450,784262,809114,914462,1026787,1050321,978984,1053573,1318619,1177940,1182738,1186019
     Colima,110998,141458,161726,188854,218310,262585,252345,268372,258597,270591,254857,253301,228431
     Chiapas,261681,324921,351055,352037,340466,365065,373649,385912,385036,378509,379898,379321,338503
     Chihuahua,563832,607551,681950,682111,884459,1042001,1057222,1058134,1010422,1183747,929579,792210,760301
     D.F. Norte,573678,1504638,1360287,1110818,1103092,1225605,1241750,1238609,1503397,1593077,1571139,1600774,1542012
     D.F. Sur,670211,931890,1544420,1162122,1333562,1508484,1632388,1572534,1547585,1514396,1351427,1380664,1169674
     Durango,214309,226973,267306,356385,472424,539396,554904,499289,461150,515229,459691,470339,460626
     Guanajuato,748669,768225,894101,904044,952899,1053932,1027025,927784,803747,941238,739617,743390,640002
     Guerrero,392546,400279,430729,426031,464863,462968,460308,444814,418173,410634,341255,308267,308413
     Hidalgo,168232,178122,199239,233961,338608,425655,403271,390945,374189,342208,321604,225577,328363
     Jalisco,1012801,1300536,1181637,1427888,1766671,2138472,2249860,2265840,2231211,2490747,2117431,2187228,2084596
     Mexico Oriente,928009,1026893,1181410,1461553,1919030,2323703,2371632,2251972,2263997,2187913,1733683,1549454,1531319
     Mexico Poniente,458290,467887,540412,681586,745916,1024780,1007662,993240,1073546,1042357,990727,987295,944750
     Michoacan,402492,520486,493547,516204,586781,701064,674975,618161,649934,733155,632587,577637,537562
     Morelos,185097,207707,253162,296915,352810,421688,423839,390427,258773,368797,302547,323378,319816
     Nayarit,189482,185330,181969,206216,270047,304761,325055,325775,296168,297671,254018,219989,214433
     Nuevo Leon,589717,1054410,1141895,1363731,1643196,1794203,2003645,1916401,1987767,2534104,2468684,2223461,2301458
     Oaxaca,141377,197840,182288,231685,289706,296408,292202,302976,304055,327528,286084,276642,272912
     Puebla,351133,698439,743024,798509,759181,803074,826539,790501,1139912,1044475,848169,830843,878694
     Queretaro,227452,322587,301313,321304,382364,402102,411567,421031,374678,409080,416252,402340,378436
     Quintana Roo,252473,251687,321016,290228,251139,291612,313371,288063,315912,418341,346470,384669,340380
     San Luis Potosi,310570,417901,411617,444887,490671,539310,543980,628361,642454,748287,658753,653787,566957
     Sinaloa,362101,436345,490567,523313,712027,840911,950058,826136,894763,994449,822814,792633,774146
     Sonora,423009,496263,530310,592801,726022,861042,917353,884378,1014640,1050440,850674,761817,730651
     Tabasco,174218,193971,194859,203574,215143,331223,367416,348590,340817,338826,326727,318714,307545
     Tamaulipas,479517,623582,638148,807765,846143,1000879,1164500,1125004,1079984,1226875,985132,956832,924447
     Tlaxcala,121306,128010,146334,143846,182125,216639,206413,206459,197508,222857,185568,189564,183673
     Veracruz Norte,512296,595981,596992,624233,636100,745748,742561,705719,985604,983540,1048676,909773,885086
     Veracruz Sur,322996,387349,347301,465537,489804,594263,552394,512550,493597,477007,387312,377395,369728
     Yucatan,294828,340740,403743,403871,491759,578800,523568,516421,504598,591011,485831,493319,463133
     Zacatecas,107880,109328,142984,152347,178588,179048,192557,184555,159594,148437,150531,139742,123209
